2021-01-12 12:38:24.438285,50734,userid,complete
2021-03-12 13:37:12.396064,66686,tlgudlove,complete
2021-03-12 13:37:12.396064,66676,tlgudlove,complete
2021-03-12 13:37:12.396064,66669,tlgudlove,complete
2021-03-12 13:37:12.396064,66668,tlgudlove,complete
2021-03-12 13:37:12.396064,66664,tlgudlove,complete
2021-03-12 13:37:12.396064,66647,tlgudlove,complete
2021-03-12 13:37:12.396064,66632,tlgudlove,complete
2021-03-12 13:37:12.396064,66632,tlgudlove,complete
2021-03-12 13:37:12.396064,66632,tlgudlove,complete
2021-03-12 13:37:12.396064,66631,tlgudlove,complete
2021-03-12 13:37:12.396064,66630,tlgudlove,complete
2021-03-12 13:37:12.396064,66628,tlgudlove,complete
